crime_id,data_ocorrencia,tipo_crime,municipio,estado,latitude,longitude
CR00028,2023-01-15 21:56:00,Roubo,Rio de Janeiro,RJ,-22.840763,-43.103953
CR00029,2023-01-20 09:22:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.951082,-43.208689
CR00030,2023-01-17 22:29:00,Perturbação da Paz,Belford Roxo,RJ,-22.770938,-43.385697
CR00031,2023-01-16 08:01:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.988807,-43.174849
CR00032,2023-01-20 15:25:00,Roubo,Nova Iguaçu,RJ,-22.772565,-43.414464
CR00033,2023-01-20 08:26:00,Furto,Nova Iguaçu,RJ,-22.739659,-43.470467
CR00034,2023-01-15 14:30:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.853304,-43.17908
CR00035,2023-01-18 06:35:00,Perturbação da Paz,Petrópolis,RJ,-22.498437,-43.222476
CR00036,2023-01-20 13:00:00,Vias de Fato,Rio de Janeiro,RJ,-22.831726,-43.20703
CR00037,2023-01-18 13:38:00,Injúria,Belford Roxo,RJ,-22.751776,-43.350966
CR00038,2023-01-16 19:27:00,Roubo,São João de Meriti,RJ,-22.807907,-43.416697
CR00039,2023-01-20 16:17:00,Ameaça,Campos dos Goytacazes,RJ,-21.789574,-41.328171
CR00040,2023-01-23 13:31:00,Roubo,Campos dos Goytacazes,RJ,-21.805997,-41.368271
CR00041,2023-01-28 07:52:00,Furto,São João de Meriti,RJ,-22.81613,-43.360538
CR00042,2023-01-24 11:55:00,Roubo,São João de Meriti,RJ,-22.770306,-43.356809
CR00043,2023-01-26 08:27:00,Furto,Rio de Janeiro,RJ,-22.916327,-43.183555
CR00044,2023-01-27 06:25:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.866291,-43.166683
CR00045,2023-01-28 14:44:00,Vias de Fato,Rio de Janeiro,RJ,-22.935662,-43.16024
CR00046,2023-01-28 10:13:00,Roubo,Rio de Janeiro,RJ,-22.843866,-43.157466
CR00047,2023-01-22 12:55:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.951296,-43.125254
CR00048,2023-01-24 21:41:00,Furto,Rio de Janeiro,RJ,-22.869702,-43.154723
CR00049,2023-01-24 19:34:00,Injúria,Volta Redonda,RJ,-22.520901,-44.116587
CR00050,2023-01-27 15:19:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.84794,-43.275566
CR00051,2023-01-26 16:14:00,Lesão Corporal,Rio de Janeiro,RJ,-22.921677,-43.243169
CR00052,2023-01-26 09:20:00,Lesão Corporal,Niterói,RJ,-22.849247,-43.116841
CR00053,2023-01-23 17:14:00,Lesão Corporal,Rio de Janeiro,RJ,-22.854798,-43.149594
CR00054,2023-02-03 11:27:00,Perturbação da Paz,Niterói,RJ,-22.814043,-43.08614
CR00055,2023-02-01 15:45:00,Dano ao Patrimônio,Belford Roxo,RJ,-22.792297,-43.359617
CR00056,2023-02-02 17:30:00,Injúria,Rio de Janeiro,RJ,-22.903984,-43.12605
CR00057,2023-02-02 18:34:00,Furto,Rio de Janeiro,RJ,-22.969682,-43.175578
CR00058,2023-01-30 19:24:00,Perturbação da Paz,Volta Redonda,RJ,-22.497499,-44.132857
CR00059,2023-01-29 10:43:00,Perturbação da Paz,Petrópolis,RJ,-22.532346,-43.16662
CR00060,2023-01-29 15:28:00,Ameaça,Duque de Caxias,RJ,-22.773425,-43.308819
CR00061,2023-02-01 14:14:00,Perturbação da Paz,Belford Roxo,RJ,-22.788044,-43.375564
CR00062,2023-02-03 07:29:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.872937,-43.195738
CR00063,2023-02-03 11:44:00,Vias de Fato,Nova Iguaçu,RJ,-22.749824,-43.440286
CR00064,2023-02-01 11:18:00,Roubo,Rio de Janeiro,RJ,-22.891464,-43.132907
CR00065,2023-02-03 12:07:00,Dano ao Patrimônio,Niterói,RJ,-22.913544,-43.13659
CR00066,2023-02-02 14:08:00,Ameaça,Belford Roxo,RJ,-22.711242,-43.364928
CR00067,2023-02-07 08:16:00,Injúria,Volta Redonda,RJ,-22.531206,-44.185041
CR00068,2023-02-05 17:32:00,Furto,Duque de Caxias,RJ,-22.733218,-43.37579
CR00069,2023-02-11 13:18:00,Ameaça,Rio de Janeiro,RJ,-22.889215,-43.151932
CR00070,2023-02-08 07:23:00,Vias de Fato,Belford Roxo,RJ,-22.762226,-43.418071
CR00071,2023-02-05 07:39:00,Vias de Fato,São João de Meriti,RJ,-22.827895,-43.36867
CR00072,2023-02-09 21:51:00,Furto,Rio de Janeiro,RJ,-22.934987,-43.180084
CR00073,2023-02-10 09:00:00,Vias de Fato,Belford Roxo,RJ,-22.743553,-43.409834
CR00074,2023-02-06 06:49:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.958659,-43.232187
CR00075,2023-02-06 06:40:00,Injúria,São João de Meriti,RJ,-22.812795,-43.366288
CR00076,2023-02-10 20:26:00,Furto,Nova Iguaçu,RJ,-22.789978,-43.396957
CR00077,2023-02-05 20:26:00,Roubo,Duque de Caxias,RJ,-22.844821,-43.347225
CR00078,2023-02-05 18:31:00,Vias de Fato,Rio de Janeiro,RJ,-22.962087,-43.157187
CR00079,2023-02-05 06:13:00,Vias de Fato,Duque de Caxias,RJ,-22.858836,-43.274568
CR00080,2023-02-10 09:22:00,Vias de Fato,Rio de Janeiro,RJ,-22.932971,-43.155784
CR00081,2023-02-11 15:26:00,Roubo,Duque de Caxias,RJ,-22.732774,-43.325411
CR00082,2023-02-08 17:15:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.741016,-43.296365
CR00083,2023-02-16 12:54:00,Ameaça,Niterói,RJ,-22.800721,-43.100925
CR00084,2023-02-12 11:36:00,Ameaça,Rio de Janeiro,RJ,-22.893477,-43.173935
CR00085,2023-02-13 12:50:00,Roubo,Niterói,RJ,-22.966719,-43.148395
CR00086,2023-02-14 13:28:00,Ameaça,Rio de Janeiro,RJ,-22.86256,-43.211384
CR00087,2023-02-16 17:32:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.778187,-43.286933
CR00088,2023-02-14 15:11:00,Ameaça,Belford Roxo,RJ,-22.764146,-43.295293
CR00089,2023-02-17 18:33:00,Vias de Fato,Niterói,RJ,-22.860569,-43.105971
CR00090,2023-02-13 19:14:00,Lesão Corporal,Duque de Caxias,RJ,-22.819661,-43.285077
CR00091,2023-02-17 06:04:00,Lesão Corporal,São João de Meriti,RJ,-22.783241,-43.386547
CR00092,2023-02-12 18:54:00,Furto,Rio de Janeiro,RJ,-22.986432,-43.232702
CR00093,2023-02-16 08:14:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.9669,-43.291481
CR00094,2023-02-12 22:26:00,Injúria,Volta Redonda,RJ,-22.545383,-44.086297
CR00095,2023-02-17 12:55:00,Dano ao Patrimônio,Nova Iguaçu,RJ,-22.762644,-43.419468
CR00096,2023-02-15 08:42:00,Roubo,Duque de Caxias,RJ,-22.749687,-43.246543
CR00097,2023-02-13 20:48:00,Vias de Fato,Duque de Caxias,RJ,-22.793254,-43.255547
CR00098,2023-02-14 07:50:00,Injúria,Rio de Janeiro,RJ,-22.896471,-43.110311
CR00099,2023-02-14 09:14:00,Vias de Fato,Rio de Janeiro,RJ,-22.888707,-43.23553
CR00100,2023-02-13 14:59:00,Perturbação da Paz,Rio de Janeiro,RJ,-23.00257,-43.204363
CR00101,2023-02-17 20:51:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.913969,-43.183035
CR00102,2023-02-16 06:43:00,Lesão Corporal,Belford Roxo,RJ,-22.736126,-43.372693
CR00103,2023-02-14 14:31:00,Injúria,São João de Meriti,RJ,-22.719997,-43.377684
CR00104,2023-02-14 15:07:00,Injúria,Campos dos Goytacazes,RJ,-21.804279,-41.359952
CR00105,2023-02-18 21:37:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.937421,-43.136893
CR00106,2023-02-13 06:36:00,Vias de Fato,Rio de Janeiro,RJ,-22.884863,-43.165381
CR00107,2023-02-15 06:24:00,Lesão Corporal,Duque de Caxias,RJ,-22.821588,-43.304106
CR00108,2023-02-17 16:52:00,Ameaça,Angra dos Reis,RJ,-23.016801,-44.303562
CR00109,2023-02-13 22:37:00,Injúria,Nova Iguaçu,RJ,-22.802085,-43.422524
CR00110,2023-02-17 13:38:00,Perturbação da Paz,Nova Iguaçu,RJ,-22.749782,-43.386655
CR00111,2023-02-13 10:49:00,Dano ao Patrimônio,Angra dos Reis,RJ,-23.07277,-44.369343
CR00112,2023-02-18 14:52:00,Vias de Fato,Belford Roxo,RJ,-22.754734,-43.470198
CR00113,2023-02-19 19:38:00,Furto,Niterói,RJ,-22.908904,-43.129165
CR00114,2023-02-22 19:14:00,Furto,Petrópolis,RJ,-22.572924,-43.157579
CR00115,2023-02-25 17:45:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.888947,-43.205164
CR00116,2023-02-21 19:22:00,Furto,Nova Iguaçu,RJ,-22.783759,-43.393053
CR00117,2023-02-22 06:57:00,Perturbação da Paz,São João de Meriti,RJ,-22.826187,-43.355355
CR00118,2023-02-23 21:36:00,Dano ao Patrimônio,Niterói,RJ,-22.925423,-43.200211
CR00119,2023-02-24 20:54:00,Lesão Corporal,Rio de Janeiro,RJ,-22.984274,-43.185319
CR00120,2023-02-22 21:51:00,Roubo,Rio de Janeiro,RJ,-22.883618,-43.15192
CR00121,2023-02-21 19:32:00,Vias de Fato,Nova Iguaçu,RJ,-22.752322,-43.464593
CR00122,2023-02-19 15:11:00,Vias de Fato,Rio de Janeiro,RJ,-22.957631,-43.242127
CR00123,2023-02-22 21:13:00,Ameaça,Rio de Janeiro,RJ,-22.913767,-43.106184
CR00124,2023-02-21 09:33:00,Furto,Rio de Janeiro,RJ,-22.941562,-43.165804
CR00125,2023-02-22 13:53:00,Vias de Fato,Rio de Janeiro,RJ,-22.907503,-43.208997
CR00126,2023-02-21 21:23:00,Roubo,Rio de Janeiro,RJ,-22.971426,-43.153617
CR00127,2023-02-25 18:12:00,Perturbação da Paz,Duque de Caxias,RJ,-22.774705,-43.340255
CR00128,2023-02-21 11:10:00,Roubo,Rio de Janeiro,RJ,-22.811496,-43.156092
CR00129,2023-02-23 19:38:00,Ameaça,Belford Roxo,RJ,-22.739397,-43.349131
CR00130,2023-02-20 19:40:00,Vias de Fato,Nova Iguaçu,RJ,-22.776616,-43.470264
CR00131,2023-02-21 07:25:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.802591,-43.299137
CR00132,2023-02-19 06:56:00,Vias de Fato,Niterói,RJ,-22.916868,-43.134997
CR00133,2023-02-23 07:59:00,Ameaça,Rio de Janeiro,RJ,-22.914844,-43.128381
CR00134,2023-02-24 07:38:00,Ameaça,Rio de Janeiro,RJ,-22.864833,-43.211938
CR00135,2023-02-25 11:29:00,Ameaça,Rio de Janeiro,RJ,-22.880901,-43.173446
CR00136,2023-02-21 20:09:00,Furto,Rio de Janeiro,RJ,-22.915228,-43.221536
CR00137,2023-02-21 13:33:00,Injúria,Rio de Janeiro,RJ,-22.947691,-43.176747
CR00138,2023-02-23 10:54:00,Ameaça,Rio de Janeiro,RJ,-22.943715,-43.114453
CR00139,2023-02-20 21:28:00,Furto,Rio de Janeiro,RJ,-22.951581,-43.154987
CR00140,2023-02-23 06:19:00,Roubo,Rio de Janeiro,RJ,-22.895674,-43.166575
CR00141,2023-02-24 06:09:00,Furto,Rio de Janeiro,RJ,-22.996691,-43.13283
CR00142,2023-02-20 16:41:00,Injúria,Duque de Caxias,RJ,-22.781639,-43.274466
CR00143,2023-02-22 08:53:00,Injúria,Duque de Caxias,RJ,-22.821325,-43.311242
CR00144,2023-02-22 13:58:00,Perturbação da Paz,Petrópolis,RJ,-22.434093,-43.133658
CR00145,2023-02-20 11:32:00,Injúria,São João de Meriti,RJ,-22.783698,-43.324213
CR00146,2023-02-23 11:49:00,Furto,Niterói,RJ,-22.870168,-43.175044
CR00147,2023-03-02 08:39:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.839527,-43.10374
CR00148,2023-02-26 21:08:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.906318,-43.164788
CR00149,2023-02-26 08:47:00,Perturbação da Paz,Nova Iguaçu,RJ,-22.811306,-43.453148
CR00150,2023-03-01 22:34:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.906342,-43.162949
CR00151,2023-02-28 15:09:00,Perturbação da Paz,Campos dos Goytacazes,RJ,-21.760542,-41.354244
CR00152,2023-02-26 11:20:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.857068,-43.316607
CR00153,2023-02-27 09:50:00,Injúria,Duque de Caxias,RJ,-22.784043,-43.345502
CR00154,2023-03-01 12:45:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.734107,-43.267701
CR00155,2023-03-03 22:08:00,Ameaça,Belford Roxo,RJ,-22.755711,-43.407283
CR00156,2023-02-28 14:25:00,Ameaça,Belford Roxo,RJ,-22.789523,-43.386742
CR00157,2023-02-27 17:28:00,Roubo,Rio de Janeiro,RJ,-22.952377,-43.19215
CR00158,2023-03-04 20:59:00,Vias de Fato,Rio de Janeiro,RJ,-22.953283,-43.257566
CR00159,2023-03-02 20:38:00,Ameaça,Nova Iguaçu,RJ,-22.763904,-43.402532
CR00160,2023-03-01 19:56:00,Perturbação da Paz,Nova Iguaçu,RJ,-22.804311,-43.466292
CR00161,2023-03-04 19:30:00,Furto,Campos dos Goytacazes,RJ,-21.697401,-41.250905
CR00162,2023-02-27 22:59:00,Ameaça,Rio de Janeiro,RJ,-22.836652,-43.176632
CR00163,2023-03-02 11:20:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.872749,-43.201191
CR00164,2023-03-02 21:30:00,Ameaça,Duque de Caxias,RJ,-22.749256,-43.310457
CR00165,2023-03-03 08:19:00,Roubo,Rio de Janeiro,RJ,-22.889801,-43.250379
CR00166,2023-03-03 10:11:00,Furto,Volta Redonda,RJ,-22.525336,-44.101541
CR00167,2023-03-01 09:58:00,Roubo,Rio de Janeiro,RJ,-22.923078,-43.196295
CR00168,2023-02-26 06:00:00,Ameaça,Rio de Janeiro,RJ,-22.877829,-43.17038
CR00169,2023-03-04 07:14:00,Lesão Corporal,Niterói,RJ,-22.892639,-43.107837
CR00170,2023-03-03 21:06:00,Vias de Fato,Campos dos Goytacazes,RJ,-21.798944,-41.371279
CR00171,2023-02-28 08:56:00,Lesão Corporal,Rio de Janeiro,RJ,-22.924054,-43.272968
CR00172,2023-03-03 16:24:00,Perturbação da Paz,São João de Meriti,RJ,-22.817736,-43.372657
CR00173,2023-02-26 20:22:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.941293,-43.153745
CR00174,2023-03-03 12:06:00,Injúria,Rio de Janeiro,RJ,-22.912698,-43.109369
CR00175,2023-02-28 08:13:00,Vias de Fato,Petrópolis,RJ,-22.556581,-43.176303
CR00176,2023-03-02 09:39:00,Ameaça,São João de Meriti,RJ,-22.779177,-43.399087
CR00177,2023-02-26 20:34:00,Injúria,Nova Iguaçu,RJ,-22.797717,-43.429923
CR00178,2023-02-28 10:17:00,Roubo,Rio de Janeiro,RJ,-22.94148,-43.168131
CR00179,2023-02-28 14:16:00,Ameaça,Belford Roxo,RJ,-22.771189,-43.382648
CR00180,2023-02-28 08:21:00,Roubo,Niterói,RJ,-22.865867,-43.057088
CR00181,2023-02-27 08:22:00,Perturbação da Paz,Volta Redonda,RJ,-22.569035,-44.108415
CR00182,2023-02-28 08:09:00,Vias de Fato,Rio de Janeiro,RJ,-22.871344,-43.153269
CR00183,2023-03-04 12:31:00,Perturbação da Paz,Niterói,RJ,-22.870366,-43.220924
CR00184,2023-03-03 18:22:00,Ameaça,São João de Meriti,RJ,-22.783329,-43.355099
CR00185,2023-03-01 06:55:00,Lesão Corporal,Rio de Janeiro,RJ,-22.926161,-43.083183
CR00186,2023-03-02 19:49:00,Roubo,Belford Roxo,RJ,-22.759159,-43.439294
CR00187,2023-03-03 06:33:00,Vias de Fato,Duque de Caxias,RJ,-22.795833,-43.341388
CR00188,2023-03-10 08:26:00,Roubo,Niterói,RJ,-22.888047,-43.094775
CR00189,2023-03-09 11:24:00,Dano ao Patrimônio,Petrópolis,RJ,-22.461313,-43.195593
CR00190,2023-03-05 14:36:00,Vias de Fato,Duque de Caxias,RJ,-22.846829,-43.302521
CR00191,2023-03-11 20:35:00,Furto,Nova Iguaçu,RJ,-22.815371,-43.437858
CR00192,2023-03-06 22:27:00,Perturbação da Paz,Belford Roxo,RJ,-22.783712,-43.364378
CR00193,2023-03-10 12:44:00,Dano ao Patrimônio,Petrópolis,RJ,-22.509889,-43.164991
CR00194,2023-03-09 14:43:00,Vias de Fato,Nova Iguaçu,RJ,-22.72625,-43.453471
CR00195,2023-03-09 12:27:00,Ameaça,Rio de Janeiro,RJ,-22.90668,-43.159292
CR00196,2023-03-05 17:43:00,Dano ao Patrimônio,Nova Iguaçu,RJ,-22.744046,-43.500493
CR00197,2023-03-06 19:56:00,Injúria,Rio de Janeiro,RJ,-22.948602,-43.213742
CR00198,2023-03-11 10:45:00,Roubo,Rio de Janeiro,RJ,-22.882012,-43.159305
CR00199,2023-03-10 09:57:00,Perturbação da Paz,Petrópolis,RJ,-22.589818,-43.193678
CR00200,2023-03-10 10:18:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.743779,-43.264195
CR00201,2023-03-08 17:32:00,Furto,Rio de Janeiro,RJ,-22.927917,-43.172956
CR00202,2023-03-07 13:10:00,Vias de Fato,Duque de Caxias,RJ,-22.758504,-43.349892
CR00203,2023-03-09 14:26:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.816093,-43.346068
CR00204,2023-03-11 21:18:00,Injúria,Petrópolis,RJ,-22.488,-43.22877
CR00205,2023-03-06 18:06:00,Ameaça,Belford Roxo,RJ,-22.819493,-43.340319
CR00206,2023-03-09 10:18:00,Lesão Corporal,Nova Iguaçu,RJ,-22.741411,-43.457247
CR00207,2023-03-09 19:17:00,Injúria,Rio de Janeiro,RJ,-22.932575,-43.17531
CR00208,2023-03-08 19:08:00,Injúria,Rio de Janeiro,RJ,-22.909894,-43.180775
CR00209,2023-03-05 12:27:00,Vias de Fato,Rio de Janeiro,RJ,-22.943315,-43.163829
CR00210,2023-03-07 16:52:00,Vias de Fato,Niterói,RJ,-22.826388,-43.09395
CR00211,2023-03-09 19:14:00,Lesão Corporal,Rio de Janeiro,RJ,-22.902384,-43.189233
CR00212,2023-03-09 20:34:00,Roubo,Rio de Janeiro,RJ,-22.917868,-43.196744
CR00213,2023-03-07 17:47:00,Dano ao Patrimônio,Niterói,RJ,-22.910042,-43.054648
CR00214,2023-03-09 18:07:00,Vias de Fato,Rio de Janeiro,RJ,-22.857122,-43.127696
CR00215,2023-03-06 06:22:00,Dano ao Patrimônio,Niterói,RJ,-22.927694,-43.075671
CR00216,2023-03-11 19:56:00,Ameaça,São João de Meriti,RJ,-22.767791,-43.314704
CR00217,2023-03-06 14:13:00,Vias de Fato,Belford Roxo,RJ,-22.760319,-43.39604
CR00218,2023-03-07 08:18:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.946345,-43.154887
CR00219,2023-03-05 13:51:00,Injúria,Rio de Janeiro,RJ,-22.914167,-43.183706
CR00220,2023-03-07 08:01:00,Roubo,São João de Meriti,RJ,-22.885298,-43.409968
CR00221,2023-03-08 19:02:00,Furto,Duque de Caxias,RJ,-22.792198,-43.260162
CR00222,2023-03-07 18:12:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.906648,-43.104148
CR00223,2023-03-07 09:37:00,Roubo,Rio de Janeiro,RJ,-22.906219,-43.145296
CR00224,2023-03-07 08:09:00,Roubo,Rio de Janeiro,RJ,-22.865592,-43.165538
CR00225,2023-03-10 08:59:00,Dano ao Patrimônio,Angra dos Reis,RJ,-22.978787,-44.313675
CR00226,2023-03-11 22:57:00,Injúria,Campos dos Goytacazes,RJ,-21.811207,-41.371883
CR00227,2023-03-11 10:15:00,Dano ao Patrimônio,Nova Iguaçu,RJ,-22.798606,-43.485534
CR00228,2023-03-07 18:27:00,Furto,São João de Meriti,RJ,-22.815943,-43.420168
CR00229,2023-03-16 10:17:00,Ameaça,Niterói,RJ,-22.887194,-43.167708
CR00230,2023-03-13 12:45:00,Lesão Corporal,Duque de Caxias,RJ,-22.768901,-43.36452
CR00231,2023-03-16 17:50:00,Furto,Duque de Caxias,RJ,-22.786026,-43.366755
CR00232,2023-03-17 16:46:00,Roubo,Campos dos Goytacazes,RJ,-21.76014,-41.263129
CR00233,2023-03-17 21:28:00,Furto,Niterói,RJ,-22.806448,-43.025281
CR00234,2023-03-14 17:01:00,Roubo,Rio de Janeiro,RJ,-22.949131,-43.225802
CR00235,2023-03-15 08:04:00,Roubo,Niterói,RJ,-22.909823,-43.130668
CR00236,2023-03-13 06:31:00,Lesão Corporal,Rio de Janeiro,RJ,-22.8949,-43.13743
CR00237,2023-03-17 21:01:00,Vias de Fato,Rio de Janeiro,RJ,-23.012868,-43.22802
CR00238,2023-03-15 16:24:00,Furto,Rio de Janeiro,RJ,-22.853802,-43.174677
CR00239,2023-03-16 14:08:00,Vias de Fato,São João de Meriti,RJ,-22.837436,-43.353242
CR00240,2023-03-15 22:05:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.884152,-43.194882
CR00241,2023-03-14 14:31:00,Ameaça,Volta Redonda,RJ,-22.614393,-44.10144
CR00242,2023-03-17 15:28:00,Roubo,Rio de Janeiro,RJ,-22.883979,-43.148172
CR00243,2023-03-17 20:01:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.839457,-43.194139
CR00244,2023-03-17 16:22:00,Vias de Fato,Niterói,RJ,-22.956108,-43.110563
CR00245,2023-03-13 13:58:00,Perturbação da Paz,Rio de Janeiro,RJ,-22.938676,-43.160821
CR00246,2023-03-14 11:58:00,Lesão Corporal,Duque de Caxias,RJ,-22.787142,-43.242114
CR00247,2023-03-15 18:58:00,Ameaça,Rio de Janeiro,RJ,-22.874969,-43.190786
CR00248,2023-03-15 10:31:00,Injúria,Belford Roxo,RJ,-22.737917,-43.37319
CR00249,2023-03-18 06:39:00,Vias de Fato,Nova Iguaçu,RJ,-22.774198,-43.436178
CR00250,2023-03-18 06:36:00,Furto,Duque de Caxias,RJ,-22.720797,-43.297152
CR00251,2023-03-14 18:09:00,Injúria,Rio de Janeiro,RJ,-22.987364,-43.141066
CR00252,2023-03-15 19:56:00,Lesão Corporal,Rio de Janeiro,RJ,-22.907729,-43.09276
CR00253,2023-03-12 10:40:00,Roubo,Duque de Caxias,RJ,-22.801383,-43.396868
CR00254,2023-03-13 22:04:00,Vias de Fato,Duque de Caxias,RJ,-22.812057,-43.357999
CR00255,2023-03-18 20:34:00,Lesão Corporal,Duque de Caxias,RJ,-22.887447,-43.287129
CR00256,2023-03-13 15:38:00,Vias de Fato,Niterói,RJ,-22.923657,-43.054384
CR00257,2023-03-12 13:07:00,Furto,Rio de Janeiro,RJ,-22.874617,-43.199905
CR00258,2023-03-16 11:43:00,Injúria,Rio de Janeiro,RJ,-22.914918,-43.157858
CR00259,2023-03-15 17:34:00,Roubo,Niterói,RJ,-22.90623,-43.10459
CR00260,2023-03-12 06:34:00,Ameaça,Duque de Caxias,RJ,-22.773883,-43.375256
CR00261,2023-03-16 09:29:00,Lesão Corporal,Rio de Janeiro,RJ,-22.949791,-43.137838
CR00262,2023-03-13 19:24:00,Vias de Fato,Niterói,RJ,-22.865058,-43.077384
CR00263,2023-03-18 16:21:00,Ameaça,Campos dos Goytacazes,RJ,-21.737388,-41.30684
CR00264,2023-03-14 22:28:00,Vias de Fato,Duque de Caxias,RJ,-22.772526,-43.340991
CR00265,2023-03-15 21:23:00,Furto,Rio de Janeiro,RJ,-22.884309,-43.224575
CR00266,2023-03-13 07:00:00,Injúria,Rio de Janeiro,RJ,-22.888153,-43.187948
CR00267,2023-03-18 15:42:00,Ameaça,Petrópolis,RJ,-22.520612,-43.142448
CR00268,2023-03-14 11:47:00,Roubo,Volta Redonda,RJ,-22.507922,-44.14998
CR00269,2023-03-16 20:07:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.96739,-43.139735
CR00270,2023-03-14 22:37:00,Roubo,São João de Meriti,RJ,-22.786819,-43.351957
CR00271,2023-03-18 21:12:00,Vias de Fato,Duque de Caxias,RJ,-22.736559,-43.426382
CR00272,2023-03-18 12:16:00,Lesão Corporal,Niterói,RJ,-22.880033,-43.05375
CR00273,2023-03-15 19:43:00,Ameaça,Rio de Janeiro,RJ,-22.933676,-43.113804
CR00274,2023-03-14 08:51:00,Roubo,Rio de Janeiro,RJ,-22.832307,-43.148794
CR00275,2023-03-16 21:52:00,Vias de Fato,Niterói,RJ,-22.836499,-43.116659
CR00276,2023-03-18 07:08:00,Roubo,Rio de Janeiro,RJ,-22.879013,-43.162664
CR00277,2023-03-16 16:47:00,Roubo,Duque de Caxias,RJ,-22.802354,-43.222511
