post_id,data_publicacao,texto,toxicity_score
PA000043,2023-01-03 09:33:44,"Fui num restaurante novo, a pizza estava espetacular.",0.0754
PA000044,2023-01-03 14:34:55,Jogo novo me viciou de um jeito bom.,0.1121
PA000045,2023-01-03 15:05:01,Grupo de estudos foi muito produtivo hoje.,0.0
PA000046,2023-01-03 15:45:33,Jogo novo me viciou de um jeito bom.,0.0403
PA000047,2023-01-03 16:28:59,"Passeio com o cachorro no parque, ele adorou.",0.0626
PA000048,2023-01-03 17:38:13,"Teatro incrivel ontem, peca muito bem dirigida.",0.0281
PA000049,2023-01-03 20:05:36,Imigrante ilegal que chega sem documentos chegando sem documentos validos Cansei desse descaso com quem nasceu aqui.,0.8543
PA000050,2023-01-03 23:49:58,Atualizacao deixou o sistema muito mais rapido.,0.1164
PA000051,2023-01-04 00:07:22,"Sol lindo hoje, cafe na varanda foi otimo.",0.0464
PA000052,2023-01-04 02:33:33,Terminei o trabalho da faculdade com antecedencia.,0.0838
PA000053,2023-01-04 04:08:03,"Estrada livre, cheguei no trabalho rapido hoje.",0.0289
PA000054,2023-01-04 04:08:10,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.018
PA000055,2023-01-04 05:04:33,"Natacao de manha, melhor inicio de dia possivel.",0.1123
PA000056,2023-01-04 14:46:28,Jantar simples mas gostoso com a familia.,0.1234
PA000057,2023-01-04 14:51:46,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.1245
PA000058,2023-01-04 18:47:35,"Domingo em familia, melhor dia da semana.",0.0962
PA000059,2023-01-04 21:18:43,Esse pessoal de outro pais chegando sem documentos validos Esse pais e dos brasileiros.,0.8478
PA000060,2023-01-04 22:24:40,"Apresentacao correu muito bem, todos gostaram.",0.0348
PA000061,2023-01-04 23:32:53,Esse gringo que aparece aqui sem ser chamado trazendo problemas para a nossa comunidade Ate quando isso vai continuar?,0.9495
PA000062,2023-01-05 04:15:16,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.0746
PA000063,2023-01-05 06:31:12,"Padaria da esquina lancou sabor novo, recomendo.",0.0961
PA000064,2023-01-05 10:04:55,"Tarefa dificil concluida com sucesso, que satisfacao.",0.0
PA000065,2023-01-05 12:07:28,Esse refugiado que chega que foi ao pais sem ser convidado Vai embora pra sua terra.,0.831
PA000066,2023-01-05 13:03:48,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0
PA000067,2023-01-05 15:10:05,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0884
PA000068,2023-01-05 17:10:09,Estrangeiro que nao tem nem documento usando servico publico sem ter contribuido nada Nao vou ficar calado sobre isso.,0.62
PA000069,2023-01-05 21:16:23,"Biblioteca da universidade, ambiente otimo para estudar.",0.0769
PA000070,2023-01-06 01:37:39,"Biblioteca da universidade, ambiente otimo para estudar.",0.0471
PA000071,2023-01-06 03:51:53,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.156
PA000072,2023-01-06 04:08:06,"Passeio no interior no fim de semana, natureza linda.",0.0798
PA000073,2023-01-06 04:41:46,Cafe da manha caprichado: tapioca com ovo e suco de laranja.,0.0637
PA000074,2023-01-06 05:19:19,"Museu da cidade muito interessante, aprendi bastante.",0.0558
PA000075,2023-01-06 05:48:38,"Academia hoje, treino puxado mas valeu muito.",0.0361
PA000076,2023-01-06 10:30:28,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.108
PA000077,2023-01-06 13:31:27,"Natacao de manha, melhor inicio de dia possivel.",0.0665
PA000078,2023-01-06 15:09:32,"Reuniao produtiva hoje, saimos com otimas ideias.",0.1107
PA000079,2023-01-06 15:21:40,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0
PA000080,2023-01-06 17:50:47,Atualizacao deixou o sistema muito mais rapido.,0.1864
PA000081,2023-01-06 20:38:09,Forasteiro que vem de longe explorar sem qualquer respaldo legal querendo disputar espaco Chega dessa invasao silenciosa.,0.9744
PA000082,2023-01-07 00:11:18,"Consegui estacionamento logo de cara, dia de sorte mesmo.",0.0
PA000083,2023-01-07 04:08:57,"Viagem de fim de semana para cidade historica, valeu.",0.0074
PA000084,2023-01-07 05:19:49,"Aprendi receita nova no youtube, ficou otimo.",0.0
PA000085,2023-01-07 05:27:38,"Filme otimo ontem, fui ao cinema com a familia.",0.0817
PA000086,2023-01-07 05:45:58,Esse povo estrangeiro que invade o pais ocupando vaga em hospital e escola que deveria ser do brasileiro Alguem precisa falar a verdade.,0.8832
PA000087,2023-01-07 09:41:53,"Filme otimo ontem, fui ao cinema com a familia.",0.0415
PA000088,2023-01-07 10:36:14,Estrangeiro que nao tem nem documento chegando sem documentos validos Esse pais e dos brasileiros.,0.8482
PA000089,2023-01-07 11:50:24,Grupo de estudos foi muito produtivo hoje.,0.0567
PA000090,2023-01-07 13:51:54,"Viagem de fim de semana para cidade historica, valeu.",0.0052
PA000091,2023-01-07 15:05:34,"Passeio com o cachorro no parque, ele adorou.",0.1355
PA000092,2023-01-07 15:07:57,Atualizacao deixou o sistema muito mais rapido.,0.0503
PA000093,2023-01-07 17:11:00,App de produtividade novo que encontrei e otimo.,0.0256
PA000094,2023-01-07 18:32:36,"Filme otimo ontem, fui ao cinema com a familia.",0.0896
PA000095,2023-01-07 19:20:38,"Domingo em familia, melhor dia da semana.",0.0
PA000096,2023-01-07 19:37:36,"Dia nublado mas tranquilo, bom para estudar sem distracao.",0.0892
PA000097,2023-01-08 01:44:18,"Aprendi receita nova no youtube, ficou otimo.",0.1377
PA000098,2023-01-08 01:46:48,"Forasteiro que vem de longe explorar que nao se integra mas exige direitos iguais Nao e preconceito, e realidade.",0.8974
PA000099,2023-01-08 02:55:35,"Plantei temperos na sacada, que satisfacao.",0.1441
PA000100,2023-01-08 05:39:11,Chega de invasao de usando servico publico sem ter contribuido nada Chega dessa invasao silenciosa.,0.6877
PA000101,2023-01-08 06:05:56,Esse pessoal de outro pais explorando nosso sistema de saude e previdencia Esse pais e dos brasileiros.,0.9628
PA000102,2023-01-08 10:43:22,Pedalada de tarde com vista incrivel do parque.,0.0634
PA000103,2023-01-08 11:22:04,"Apresentacao correu muito bem, todos gostaram.",0.093
PA000104,2023-01-08 11:49:49,Esse pessoal de outro pais que tira recursos que sao dos cidadaos daqui O brasileiro sofre enquanto isso acontece.,0.8696
PA000105,2023-01-08 12:44:52,"Corri 5km de manha, semana otima de treino.",0.111
PA000106,2023-01-08 13:23:04,Imigrante ilegal que chega sem documentos sem qualquer respaldo legal querendo disputar espaco Nao ha mais espaco.,0.7523
PA000107,2023-01-08 16:32:40,Aula incrivel sobre estatistica aplicada hoje.,0.0727
PA000108,2023-01-08 18:19:37,"Estudando para a prova de amanha, bem concentrado.",0.061
PA000109,2023-01-08 19:16:00,Aula incrivel sobre estatistica aplicada hoje.,0.1122
PA000110,2023-01-09 01:48:08,"Passei na certificacao, muito feliz com o resultado.",0.0189
PA000111,2023-01-09 02:28:00,"Churrasco com a familia no final de semana, delicioso.",0.0672
PA000112,2023-01-09 06:03:28,Quem nao e daqui e quer mandar usando servico publico sem ter contribuido nada Chega dessa invasao silenciosa.,0.62
PA000113,2023-01-09 07:30:03,"Fechei projeto importante essa semana, que alegria.",0.0
PA000114,2023-01-09 09:20:07,"Configurei o home office com setup novo, otimo.",0.0218
PA000115,2023-01-09 12:06:21,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0309
PA000116,2023-01-09 13:26:53,Grupo de estudos foi muito produtivo hoje.,0.0974
PA000117,2023-01-09 14:07:52,"Notebook novo chegou, que desempenho incrivel.",0.1165
PA000118,2023-01-09 19:27:50,"Museu da cidade muito interessante, aprendi bastante.",0.0287
PA000119,2023-01-09 20:01:42,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.0789
PA000120,2023-01-09 20:06:17,"Churrasco com a familia no final de semana, delicioso.",0.1024
PA000121,2023-01-09 22:31:40,Podcast sobre tecnologia muito interessante.,0.1306
PA000122,2023-01-09 23:47:17,Esse povo estrangeiro que invade o pais trazendo problemas para a nossa comunidade Cansei desse descaso com quem nasceu aqui.,0.7292
PA000123,2023-01-10 00:22:54,"Praia tranquila, sol perfeito, descanso total.",0.1008
PA000124,2023-01-10 00:56:15,"Aprendi receita nova no youtube, ficou otimo.",0.0148
PA000125,2023-01-10 01:18:47,"Configurei o home office com setup novo, otimo.",0.1089
PA000126,2023-01-10 01:48:25,"Imigrante que entra ilegalmente usando servico publico sem ter contribuido nada Cada um no seu pais, simples assim.",0.8803
PA000127,2023-01-10 03:30:36,Esse refugiado que chega querendo se beneficiar do sistema publico sem contribuir Esse pais e dos brasileiros.,0.6247
PA000128,2023-01-10 03:52:20,Chega de invasao de tomando emprego de brasileiro honesto Vai embora pra sua terra.,0.6953
PA000129,2023-01-10 05:03:47,"Testei IA para ajudar com codigo, funcionou bem.",0.1256
PA000130,2023-01-10 06:23:44,Jantar simples mas gostoso com a familia.,0.1104
PA000131,2023-01-10 11:07:18,"Fui num restaurante novo, a pizza estava espetacular.",0.0652
PA000132,2023-01-10 12:33:41,"Esse refugiado que chega que nao respeita nossa cultura e nossos costumes Nao e preconceito, e realidade.",0.6846
PA000133,2023-01-10 13:53:58,Semana intensa mas muito satisfatoria no trabalho.,0.0343
PA000134,2023-01-10 15:07:09,"Estudando para a prova de amanha, bem concentrado.",0.1201
PA000135,2023-01-10 16:56:10,"Praia tranquila, sol perfeito, descanso total.",0.1599
PA000136,2023-01-10 22:43:00,Semana intensa mas muito satisfatoria no trabalho.,0.0538
PA000137,2023-01-10 23:08:33,Estrangeiro sem visto regularizado que nao respeita nossa cultura e nossos costumes Alguem precisa falar a verdade.,0.7476
PA000138,2023-01-11 01:03:57,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.1294
PA000139,2023-01-11 02:37:32,"Maratonei a temporada completa, valeu cada minuto.",0.0782
PA000140,2023-01-11 03:11:25,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0
PA000141,2023-01-11 04:14:29,Estrangeiro sem visto regularizado ocupando vaga em hospital e escola que deveria ser do brasileiro Fora.,0.811
PA000142,2023-01-11 04:44:02,"Meu time ganhou hoje, que jogo bonito foi.",0.0577
PA000143,2023-01-11 04:49:39,"Sol lindo hoje, cafe na varanda foi otimo.",0.0577
PA000144,2023-01-11 05:07:26,"Passei na certificacao, muito feliz com o resultado.",0.0894
PA000145,2023-01-11 05:15:46,Quem nao e daqui e quer mandar trazendo problemas para a nossa comunidade O brasileiro sofre enquanto isso acontece.,0.783
PA000146,2023-01-11 08:08:01,Nao aguento mais esse povo de fora ignorando as leis e vivendo como bem entende Chega dessa invasao silenciosa.,0.8119
PA000147,2023-01-11 12:35:25,"Cuidando das plantas em casa, muito terapeutico.",0.0439
PA000148,2023-01-11 13:18:23,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0693
PA000149,2023-01-11 14:32:23,Show ao vivo incrivel no fim de semana.,0.0245
PA000150,2023-01-11 17:09:26,"Reuniao produtiva hoje, saimos com otimas ideias.",0.1043
PA000151,2023-01-11 17:57:07,"Teatro incrivel ontem, peca muito bem dirigida.",0.0729
PA000152,2023-01-11 19:52:39,"Configurei o home office com setup novo, otimo.",0.086
PA000153,2023-01-11 20:40:32,"Viagem de fim de semana para cidade historica, valeu.",0.0
PA000154,2023-01-11 21:11:03,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.0659
PA000155,2023-01-11 22:17:28,Tarde produtiva organizando e limpando a casa.,0.1092
PA000156,2023-01-11 23:53:15,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0691
PA000157,2023-01-12 00:28:41,"Filme otimo ontem, fui ao cinema com a familia.",0.1013
PA000158,2023-01-12 00:52:29,"Natacao de manha, melhor inicio de dia possivel.",0.0839
PA000159,2023-01-12 03:18:18,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.0924
PA000160,2023-01-12 05:02:17,"Metro bem tranquilo essa manha, cheguei bem.",0.1726
PA000161,2023-01-12 06:50:48,"Domingo em familia, melhor dia da semana.",0.0779
PA000162,2023-01-12 07:39:15,Aplicativo de carona funcionou perfeitamente.,0.0836
PA000163,2023-01-12 07:39:37,"Vento agradavel hoje, aproveitei para caminhar no parque.",0.0265
PA000164,2023-01-12 10:21:11,Nao aguento mais esse povo de fora que nao fala portugues e nao tem interesse em aprender Alguem precisa falar a verdade.,0.7381
PA000165,2023-01-12 10:52:21,Que tarde relaxante lendo na rede.,0.075
PA000166,2023-01-12 11:00:56,"Fui num restaurante novo, a pizza estava espetacular.",0.0
PA000167,2023-01-12 12:36:37,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0471
PA000168,2023-01-12 13:24:11,"Tarefa dificil concluida com sucesso, que satisfacao.",0.0994
PA000169,2023-01-12 14:08:24,"Plantei temperos na sacada, que satisfacao.",0.0482
PA000170,2023-01-12 15:24:22,Aula incrivel sobre estatistica aplicada hoje.,0.0488
PA000171,2023-01-12 16:12:53,"Yoga pela manha, comecei o dia muito bem.",0.1264
PA000172,2023-01-12 20:15:22,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.1108
PA000173,2023-01-12 21:24:10,"Imigrante que entra ilegalmente ignorando as leis e vivendo como bem entende Cada um no seu pais, simples assim.",0.8554
PA000174,2023-01-12 23:02:58,"Chega de invasao de sem qualquer respaldo legal querendo disputar espaco Cada um no seu pais, simples assim.",0.9052
PA000175,2023-01-13 00:09:55,"Pausa pro cafe com os colegas, bate-papo otimo.",0.0629
PA000176,2023-01-13 00:10:22,"Academia hoje, treino puxado mas valeu muito.",0.0042
PA000177,2023-01-13 01:06:24,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0505
PA000178,2023-01-13 02:31:22,Forasteiro que vem de longe explorar que nao fala portugues e nao tem interesse em aprender Esse pais e dos brasileiros.,0.6626
PA000179,2023-01-13 02:50:07,"Testei IA para ajudar com codigo, funcionou bem.",0.0941
PA000180,2023-01-13 04:56:28,Que manha fresca e agradavel para uma caminhada.,0.0589
PA000181,2023-01-13 06:38:45,Estrangeiro sem visto regularizado chegando sem documentos validos Vai embora pra sua terra.,0.7488
PA000182,2023-01-13 09:10:12,"Vento agradavel hoje, aproveitei para caminhar no parque.",0.1326
PA000183,2023-01-13 10:37:03,"Configurei o home office com setup novo, otimo.",0.0529
PA000184,2023-01-13 10:54:59,"Acai gelado essa tarde, refrescante demais.",0.0531
PA000185,2023-01-13 11:40:09,App de produtividade novo que encontrei e otimo.,0.0525
PA000186,2023-01-13 12:51:19,"Novo celular chegou, a camera e impressionante.",0.1891
PA000187,2023-01-13 13:04:16,"Trilha ecologica incrivel, natureza pura.",0.0613
PA000188,2023-01-13 13:36:31,"Pipoca e serie boa na sexta, programa perfeito.",0.091
PA000189,2023-01-13 19:31:39,Esse pessoal de outro pais que nao respeita nossa cultura e nossos costumes Cansei desse descaso com quem nasceu aqui.,0.7206
PA000190,2023-01-13 21:33:44,Tarde produtiva organizando e limpando a casa.,0.1624
PA000191,2023-01-13 21:56:10,Feira de artesanato gostosa de passear.,0.0875
PA000192,2023-01-13 22:30:29,"Fui de bike hoje, que exercicio agradavel de manha.",0.0
PA000193,2023-01-14 03:45:59,Aula incrivel sobre estatistica aplicada hoje.,0.046
PA000194,2023-01-14 04:46:20,"Estrada livre, cheguei no trabalho rapido hoje.",0.0185
PA000195,2023-01-14 06:53:43,Esse refugiado que chega recebendo auxilio que deveria ir para o brasileiro O brasileiro sofre enquanto isso acontece.,0.8131
PA000196,2023-01-14 09:42:49,"Passei na certificacao, muito feliz com o resultado.",0.0694
PA000197,2023-01-14 11:43:32,"Praia tranquila, sol perfeito, descanso total.",0.0786
PA000198,2023-01-14 12:17:19,Terminei o trabalho da faculdade com antecedencia.,0.0617
PA000199,2023-01-14 14:22:41,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.0857
PA000200,2023-01-14 18:57:54,"Churrasco com a familia no final de semana, delicioso.",0.1225
PA000201,2023-01-14 20:29:56,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0239
PA000202,2023-01-14 20:40:48,"Serie nova incrivel, amei o primeiro episodio.",0.1176
PA000203,2023-01-14 20:57:49,"Estudando para a prova de amanha, bem concentrado.",0.1084
PA000204,2023-01-14 21:27:17,"Reuniao produtiva hoje, saimos com otimas ideias.",0.0
PA000205,2023-01-14 23:54:00,Pedalada de tarde com vista incrivel do parque.,0.0212
PA000206,2023-01-15 04:54:56,"Cuidando das plantas em casa, muito terapeutico.",0.1095
PA000207,2023-01-15 08:23:36,"Estrada livre, cheguei no trabalho rapido hoje.",0.0
PA000208,2023-01-15 10:44:15,Estrangeiro sem visto regularizado tomando emprego de brasileiro honesto Vai embora pra sua terra.,0.9649
PA000209,2023-01-15 14:01:11,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.1534
PA000210,2023-01-15 14:55:55,"Nao aguento mais esse povo de fora ocupando vaga em hospital e escola que deveria ser do brasileiro Nao e preconceito, e realidade.",0.6742
PA000211,2023-01-15 17:00:57,"Academia hoje, treino puxado mas valeu muito.",0.1051
PA000212,2023-01-15 22:10:27,"Consegui estacionamento logo de cara, dia de sorte mesmo.",0.1431
PA000213,2023-01-15 22:22:26,"Academia hoje, treino puxado mas valeu muito.",0.013
PA000214,2023-01-15 23:14:16,Estrangeiro que nao tem nem documento invadindo o territorio nacional como se fosse terra sem dono Vai embora pra sua terra.,0.7368
PA000215,2023-01-16 00:40:23,Esse gringo que aparece aqui sem ser chamado recebendo auxilio que deveria ir para o brasileiro Fora.,0.8409
PA000216,2023-01-16 02:05:41,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.0718
PA000217,2023-01-16 02:47:07,"Pausa pro cafe com os colegas, bate-papo otimo.",0.0765
PA000218,2023-01-16 03:03:03,Caminhada ate a estacao foi otima hoje.,0.045
PA000219,2023-01-16 03:11:51,"Corri 5km de manha, semana otima de treino.",0.1068
PA000220,2023-01-16 03:53:15,Aplicativo de carona funcionou perfeitamente.,0.0759
PA000221,2023-01-16 05:00:44,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0
PA000222,2023-01-16 08:29:14,"Biblioteca da universidade, ambiente otimo para estudar.",0.0513
PA000223,2023-01-16 13:07:19,"Apresentacao correu muito bem, todos gostaram.",0.0932
PA000224,2023-01-16 15:48:14,Que tarde relaxante lendo na rede.,0.0801
PA000225,2023-01-16 16:46:36,"Acai gelado essa tarde, refrescante demais.",0.1436
PA000226,2023-01-16 17:34:31,"Meu time ganhou hoje, que jogo bonito foi.",0.0598
PA000227,2023-01-16 21:10:20,"Fui num restaurante novo, a pizza estava espetacular.",0.144
PA000228,2023-01-16 21:19:15,Esse povo estrangeiro que invade o pais que foi ao pais sem ser convidado Ate quando isso vai continuar?,0.7644
PA000229,2023-01-17 00:08:41,"Viagem de fim de semana para cidade historica, valeu.",0.1597
PA000230,2023-01-17 01:05:41,"Sopa de legumes no frio, reconfortante e gostosa.",0.0699
PA000231,2023-01-17 03:20:27,Gente que vem la de fora sem respeito trazendo problemas para a nossa comunidade Esse pais e dos brasileiros.,0.8268
PA000232,2023-01-17 03:48:06,"Esse gringo que aparece aqui sem ser chamado que foi ao pais sem ser convidado Cada um no seu pais, simples assim.",0.8637
PA000233,2023-01-17 05:03:16,Forasteiro que vem de longe explorar chegando sem documentos validos Chega dessa invasao silenciosa.,0.8201
PA000234,2023-01-17 05:58:41,Semana intensa mas muito satisfatoria no trabalho.,0.0421
PA000235,2023-01-17 09:03:09,"Serie nova incrivel, amei o primeiro episodio.",0.0143
PA000236,2023-01-17 09:31:22,Podcast sobre tecnologia muito interessante.,0.1103
PA000237,2023-01-17 10:20:19,"Imigrante que entra ilegalmente que nao fala portugues e nao tem interesse em aprender Cada um no seu pais, simples assim.",0.8435
PA000238,2023-01-17 11:38:26,"Acai gelado essa tarde, refrescante demais.",0.1187
PA000239,2023-01-17 12:20:51,"Reencontrei um amigo antigo por acaso, que alegria.",0.0494
PA000240,2023-01-17 14:51:18,Quem nao e daqui e quer mandar ignorando as leis e vivendo como bem entende O brasileiro sofre enquanto isso acontece.,0.7359
PA000241,2023-01-17 18:36:56,Imigrante ilegal que chega sem documentos usando servico publico sem ter contribuido nada O brasileiro sofre enquanto isso acontece.,0.8347
PA000242,2023-01-17 18:42:58,"Aprendi receita nova no youtube, ficou otimo.",0.0329
PA000243,2023-01-17 21:53:43,Jantar simples mas gostoso com a familia.,0.1035
PA000244,2023-01-18 01:31:07,"Passeio com o cachorro no parque, ele adorou.",0.0889
PA000245,2023-01-18 05:16:54,Atualizacao deixou o sistema muito mais rapido.,0.0549
PA000246,2023-01-18 05:21:46,Forasteiro que vem de longe explorar explorando nosso sistema de saude e previdencia Chega dessa invasao silenciosa.,0.8699
PA000247,2023-01-18 05:29:27,"Dia nublado mas tranquilo, bom para estudar sem distracao.",0.02
PA000248,2023-01-18 05:36:51,Imigrante que entra ilegalmente invadindo o territorio nacional como se fosse terra sem dono O brasileiro sofre enquanto isso acontece.,0.772
PA000249,2023-01-18 10:12:30,Grupo de estudos foi muito produtivo hoje.,0.0815
PA000250,2023-01-18 12:44:17,Que tarde relaxante lendo na rede.,0.0812
PA000251,2023-01-18 15:21:37,"Musica nova do meu artista favorito, de outro nivel.",0.0623
PA000252,2023-01-18 15:22:14,"O outono chegou cedo esse ano, que frio gostoso de manha.",0.0585
PA000253,2023-01-18 15:40:51,Jantar simples mas gostoso com a familia.,0.027
PA000254,2023-01-18 18:12:35,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.0
PA000255,2023-01-18 18:17:52,"Estrada livre, cheguei no trabalho rapido hoje.",0.1266
PA000256,2023-01-18 18:21:40,"Padaria da esquina lancou sabor novo, recomendo.",0.0943
PA000257,2023-01-18 18:33:21,Forasteiro que vem de longe explorar que nao respeita nossa cultura e nossos costumes Ate quando isso vai continuar?,0.8858
PA000258,2023-01-18 20:32:15,Quem nao e daqui e quer mandar que nao fala portugues e nao tem interesse em aprender Nao ha mais espaco.,0.9369
PA000259,2023-01-18 20:44:07,"Musica nova do meu artista favorito, de outro nivel.",0.0928
PA000260,2023-01-18 21:33:22,Feira de artesanato gostosa de passear.,0.0
PA000261,2023-01-18 22:26:15,"Domingo em familia, melhor dia da semana.",0.0518
PA000262,2023-01-19 04:20:55,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0717
PA000263,2023-01-19 06:33:48,"Viagem de fim de semana para cidade historica, valeu.",0.0602
PA000264,2023-01-19 06:55:35,Show ao vivo incrivel no fim de semana.,0.1049
PA000265,2023-01-19 13:13:30,"Maratonei a temporada completa, valeu cada minuto.",0.0876
PA000266,2023-01-19 14:26:59,"Choveu a tarde toda, dia perfeito pra ficar em casa lendo.",0.0
PA000267,2023-01-19 14:51:33,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0431
PA000268,2023-01-19 15:23:55,Jantar simples mas gostoso com a familia.,0.1223
PA000269,2023-01-19 18:04:54,"Acai gelado essa tarde, refrescante demais.",0.0701
PA000270,2023-01-19 20:59:41,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.0532
PA000271,2023-01-19 23:14:43,"Yoga pela manha, comecei o dia muito bem.",0.0905
PA000272,2023-01-19 23:44:55,"Serie nova incrivel, amei o primeiro episodio.",0.0079
PA000273,2023-01-20 01:36:22,"Reuniao produtiva hoje, saimos com otimas ideias.",0.0164
PA000274,2023-01-20 02:13:09,"Trilha ecologica incrivel, natureza pura.",0.067
PA000275,2023-01-20 03:45:48,"Churrasco com a familia no final de semana, delicioso.",0.1135
PA000276,2023-01-20 03:53:14,"Home office com cafe fresquinho do lado, otimo.",0.1078
