post_id,data_publicacao,texto,toxicity_score
PA000042,2022-12-27 14:25:55,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.0427
PA000043,2022-12-27 15:31:16,"Reencontrei um amigo antigo por acaso, que alegria.",0.0872
PA000044,2022-12-27 16:10:23,"Novo celular chegou, a camera e impressionante.",0.0554
PA000045,2022-12-27 16:11:32,"Home office com cafe fresquinho do lado, otimo.",0.0
PA000046,2022-12-27 16:11:39,Caminhada ate a estacao foi otima hoje.,0.1163
PA000047,2022-12-27 17:43:46,"Passeio com o cachorro no parque, ele adorou.",0.1628
PA000048,2022-12-27 18:21:24,"Musica nova do meu artista favorito, de outro nivel.",0.0839
PA000049,2022-12-27 20:02:02,"Estudando para a prova de amanha, bem concentrado.",0.0546
PA000050,2022-12-27 20:25:47,"Passei na certificacao, muito feliz com o resultado.",0.0853
PA000051,2022-12-27 20:37:26,"Meditacao de manha, comecando o dia muito bem.",0.0405
PA000052,2022-12-27 21:36:35,"Viagem de fim de semana para cidade historica, valeu.",0.0653
PA000053,2022-12-27 21:42:53,"Passei na certificacao, muito feliz com o resultado.",0.1476
PA000054,2022-12-27 21:55:46,"Domingo em familia, melhor dia da semana.",0.0604
PA000055,2022-12-27 22:14:23,Nao aguento mais reclamacao sem solucao pratica.,0.4762
PA000056,2022-12-27 22:42:52,"Pausa pro cafe com os colegas, bate-papo otimo.",0.0889
PA000057,2022-12-28 00:34:46,"Multa de transito injusta, vou recorrer.",0.9135
PA000058,2022-12-28 01:25:18,Que tarde relaxante lendo na rede.,0.0
PA000059,2022-12-28 04:04:23,"Sol lindo hoje, cafe na varanda foi otimo.",0.0625
PA000060,2022-12-28 04:08:27,"Biblioteca da universidade, ambiente otimo para estudar.",0.0791
PA000061,2022-12-28 04:32:53,"Corri 5km de manha, semana otima de treino.",0.1141
PA000062,2022-12-28 07:21:02,"Maratonei a temporada completa, valeu cada minuto.",0.1461
PA000063,2022-12-28 07:29:32,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.1246
PA000064,2022-12-28 09:14:40,Brigadeiro de panela saiu incrivel hoje.,0.041
PA000065,2022-12-28 10:43:25,"Estrada livre, cheguei no trabalho rapido hoje.",0.0727
PA000066,2022-12-28 13:02:42,"Notebook novo chegou, que desempenho incrivel.",0.0418
PA000067,2022-12-28 13:42:39,"Volei com os amigos, muita risada e diversao.",0.044
PA000068,2022-12-28 14:05:23,"Reencontrei um amigo antigo por acaso, que alegria.",0.1794
PA000069,2022-12-28 14:12:18,"Pipoca e serie boa na sexta, programa perfeito.",0.1019
PA000070,2022-12-28 14:21:03,"Notebook novo chegou, que desempenho incrivel.",0.1281
PA000071,2022-12-28 15:16:19,"Churrasco com a familia no final de semana, delicioso.",0.0
PA000072,2022-12-28 15:23:56,"Acai gelado essa tarde, refrescante demais.",0.1384
PA000073,2022-12-28 17:01:31,"Sopa de legumes no frio, reconfortante e gostosa.",0.0473
PA000074,2022-12-28 17:38:31,"Trilha ecologica incrivel, natureza pura.",0.0991
PA000075,2022-12-28 18:58:57,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.1597
PA000076,2022-12-28 19:59:42,Terminei o trabalho da faculdade com antecedencia.,0.1783
PA000077,2022-12-28 20:53:05,"Biblioteca da universidade, ambiente otimo para estudar.",0.0308
PA000078,2022-12-28 21:32:05,Semana intensa mas muito satisfatoria no trabalho.,0.0
PA000079,2022-12-28 22:38:08,"Sol lindo hoje, cafe na varanda foi otimo.",0.0798
PA000080,2022-12-28 23:23:28,"Novo celular chegou, a camera e impressionante.",0.1021
PA000081,2022-12-28 23:59:07,"Meu time ganhou hoje, que jogo bonito foi.",0.1332
PA000082,2022-12-29 05:17:47,"Onibus chegou no horario hoje, que surpresa agradavel.",0.1671
PA000083,2022-12-29 05:18:14,"Metro bem tranquilo essa manha, cheguei bem.",0.1336
PA000084,2022-12-29 05:21:35,"Reuniao produtiva hoje, saimos com otimas ideias.",0.1666
PA000085,2022-12-29 05:53:51,"Reencontrei um amigo antigo por acaso, que alegria.",0.2242
PA000086,2022-12-29 06:57:49,"Choveu a tarde toda, dia perfeito pra ficar em casa lendo.",0.0
PA000087,2022-12-29 06:59:07,"Musica nova do meu artista favorito, de outro nivel.",0.1575
PA000088,2022-12-29 07:23:10,"Natacao de manha, melhor inicio de dia possivel.",0.0
PA000089,2022-12-29 07:51:32,"Domingo em familia, melhor dia da semana.",0.0848
PA000090,2022-12-29 09:27:06,"Passei na certificacao, muito feliz com o resultado.",0.123
PA000091,2022-12-29 09:35:30,Semana intensa mas muito satisfatoria no trabalho.,0.0237
PA000092,2022-12-29 09:39:31,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0594
PA000093,2022-12-29 10:12:30,"Fechei projeto importante essa semana, que alegria.",0.0818
PA000094,2022-12-29 11:01:15,"Meu time ganhou hoje, que jogo bonito foi.",0.0649
PA000095,2022-12-29 12:33:52,"Reencontrei um amigo antigo por acaso, que alegria.",0.1174
PA000096,2022-12-29 13:42:17,Leitura no jardim com tempo agradavel.,0.174
PA000097,2022-12-29 14:12:20,"Biblioteca da universidade, ambiente otimo para estudar.",0.1205
PA000098,2022-12-29 14:39:44,"Trilha ecologica incrivel, natureza pura.",0.0913
PA000099,2022-12-29 15:06:54,"Tarefa dificil concluida com sucesso, que satisfacao.",0.0035
PA000100,2022-12-29 18:13:41,Semana intensa mas muito satisfatoria no trabalho.,0.165
PA000101,2022-12-29 18:24:29,Que tarde relaxante lendo na rede.,0.0207
PA000102,2022-12-29 19:32:12,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0294
PA000103,2022-12-29 19:50:33,Que manha fresca e agradavel para uma caminhada.,0.1463
PA000104,2022-12-29 23:07:51,Grupo de estudos foi muito produtivo hoje.,0.1064
PA000105,2022-12-30 00:04:19,"Tentei receita nova de bolo de cenoura, ficou fofinho.",0.0685
PA000106,2022-12-30 02:37:02,"Praia tranquila, sol perfeito, descanso total.",0.0792
PA000107,2022-12-30 02:43:51,"Reencontrei um amigo antigo por acaso, que alegria.",0.1308
PA000108,2022-12-30 03:11:39,"Serie nova incrivel, amei o primeiro episodio.",0.0689
PA000109,2022-12-30 03:54:54,Leitura no jardim com tempo agradavel.,0.0494
PA000110,2022-12-30 05:16:34,"Passei na certificacao, muito feliz com o resultado.",0.1695
PA000111,2022-12-30 07:05:13,Brigadeiro de panela saiu incrivel hoje.,0.1215
PA000112,2022-12-30 07:19:32,Grupo de estudos foi muito produtivo hoje.,0.0556
PA000113,2022-12-30 07:59:05,"Cuidando das plantas em casa, muito terapeutico.",0.04
PA000114,2022-12-30 08:01:03,"Corri 5km de manha, semana otima de treino.",0.1233
PA000115,2022-12-30 09:17:25,"Corri 5km de manha, semana otima de treino.",0.1053
PA000116,2022-12-30 11:30:11,"Teatro incrivel ontem, peca muito bem dirigida.",0.0
PA000117,2022-12-30 13:18:13,"Vento agradavel hoje, aproveitei para caminhar no parque.",0.0497
PA000118,2022-12-30 13:35:50,"Fui de bike hoje, que exercicio agradavel de manha.",0.0798
PA000119,2022-12-30 13:48:03,Jogo novo me viciou de um jeito bom.,0.0936
PA000120,2022-12-30 13:52:30,App de produtividade novo que encontrei e otimo.,0.0
PA000121,2022-12-30 14:08:18,"Dia nublado mas tranquilo, bom para estudar sem distracao.",0.0753
PA000122,2022-12-30 14:32:06,"Choveu a tarde toda, dia perfeito pra ficar em casa lendo.",0.087
PA000123,2022-12-30 16:37:49,Feira de artesanato gostosa de passear.,0.0793
PA000124,2022-12-30 17:53:52,"Vento agradavel hoje, aproveitei para caminhar no parque.",0.0702
PA000125,2022-12-30 18:14:19,"Metro bem tranquilo essa manha, cheguei bem.",0.1625
PA000126,2022-12-30 18:39:18,"Cuidando das plantas em casa, muito terapeutico.",0.1238
PA000127,2022-12-30 20:03:53,"Musica nova do meu artista favorito, de outro nivel.",0.1365
PA000128,2022-12-30 20:35:27,Feira de artesanato gostosa de passear.,0.1129
PA000129,2022-12-30 20:40:14,"Testei IA para ajudar com codigo, funcionou bem.",0.0771
PA000130,2022-12-30 21:44:34,App de produtividade novo que encontrei e otimo.,0.1995
PA000131,2022-12-30 22:59:36,Caminhada ate a estacao foi otima hoje.,0.0434
PA000132,2022-12-30 23:56:45,"Tarefa dificil concluida com sucesso, que satisfacao.",0.0
PA000133,2022-12-31 00:31:48,"Notebook novo chegou, que desempenho incrivel.",0.012
PA000134,2022-12-31 00:49:34,"Meditacao de manha, comecando o dia muito bem.",0.0889
PA000135,2022-12-31 01:25:34,"Pausa pro cafe com os colegas, bate-papo otimo.",0.1227
PA000136,2022-12-31 01:38:01,Terminei o trabalho da faculdade com antecedencia.,0.1483
PA000137,2022-12-31 01:46:16,"Pausa pro cafe com os colegas, bate-papo otimo.",0.1369
PA000138,2022-12-31 03:31:53,"Filme otimo ontem, fui ao cinema com a familia.",0.063
PA000139,2022-12-31 05:14:43,"Volei com os amigos, muita risada e diversao.",0.0046
PA000140,2022-12-31 06:24:17,"Novo celular chegou, a camera e impressionante.",0.1168
PA000141,2022-12-31 06:32:55,Semana intensa mas muito satisfatoria no trabalho.,0.0416
PA000142,2022-12-31 06:57:27,"Home office com cafe fresquinho do lado, otimo.",0.0506
PA000143,2022-12-31 06:58:30,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0895
PA000144,2022-12-31 08:14:59,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0182
PA000145,2022-12-31 10:16:51,Aplicativo de carona funcionou perfeitamente.,0.0184
PA000146,2022-12-31 10:53:15,"Notebook novo chegou, que desempenho incrivel.",0.0648
PA000147,2022-12-31 11:30:29,"Passeio com o cachorro no parque, ele adorou.",0.144
PA000148,2022-12-31 12:01:31,"Serie nova incrivel, amei o primeiro episodio.",0.2747
PA000149,2022-12-31 12:52:18,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.1338
PA000150,2022-12-31 13:48:13,"Dia nublado mas tranquilo, bom para estudar sem distracao.",0.0027
PA000151,2022-12-31 14:35:41,Jogo novo me viciou de um jeito bom.,0.0813
PA000152,2022-12-31 14:55:44,"Academia hoje, treino puxado mas valeu muito.",0.1025
PA000153,2022-12-31 15:33:34,"Domingo em familia, melhor dia da semana.",0.0639
PA000154,2022-12-31 15:58:33,"Pausa pro cafe com os colegas, bate-papo otimo.",0.0836
PA000155,2022-12-31 18:52:28,Terminei o trabalho da faculdade com antecedencia.,0.0172
PA000156,2022-12-31 19:32:01,"Trilha ecologica incrivel, natureza pura.",0.0
PA000157,2022-12-31 21:27:17,"Cuidando das plantas em casa, muito terapeutico.",0.1141
PA000158,2022-12-31 22:17:40,"Pausa pro cafe com os colegas, bate-papo otimo.",0.0791
PA000159,2022-12-31 23:11:28,"Fechei projeto importante essa semana, que alegria.",0.1226
PA000160,2022-12-31 23:22:14,Que manha fresca e agradavel para uma caminhada.,0.0631
PA000161,2023-01-01 00:37:25,Terminei o trabalho da faculdade com antecedencia.,0.1069
PA000162,2023-01-01 01:42:48,"Reencontrei um amigo antigo por acaso, que alegria.",0.1205
PA000163,2023-01-01 02:14:33,Show ao vivo incrivel no fim de semana.,0.0603
PA000164,2023-01-01 03:30:36,Grupo de estudos foi muito produtivo hoje.,0.1674
PA000165,2023-01-01 04:27:36,"Novo celular chegou, a camera e impressionante.",0.001
PA000166,2023-01-01 04:31:33,"Sol lindo hoje, cafe na varanda foi otimo.",0.0157
PA000167,2023-01-01 05:20:42,Finalmente entendi aquele conceito que me travava.,0.0491
PA000168,2023-01-01 05:23:29,"Testei IA para ajudar com codigo, funcionou bem.",0.0877
PA000169,2023-01-01 05:23:33,Aplicativo de carona funcionou perfeitamente.,0.0743
PA000170,2023-01-01 05:25:17,"Sopa de legumes no frio, reconfortante e gostosa.",0.1652
PA000171,2023-01-01 07:32:54,"Meu time ganhou hoje, que jogo bonito foi.",0.0482
PA000172,2023-01-01 09:07:49,Finalmente entendi aquele conceito que me travava.,0.0812
PA000173,2023-01-01 10:34:09,Leitura no jardim com tempo agradavel.,0.1229
PA000174,2023-01-01 11:12:04,"Sol lindo hoje, cafe na varanda foi otimo.",0.0949
PA000175,2023-01-01 11:25:52,"Teatro incrivel ontem, peca muito bem dirigida.",0.1958
PA000176,2023-01-01 13:23:24,Terminei o trabalho da faculdade com antecedencia.,0.0431
PA000177,2023-01-01 14:19:11,"Yoga pela manha, comecei o dia muito bem.",0.0
PA000178,2023-01-01 14:42:52,"Serie nova incrivel, amei o primeiro episodio.",0.0972
PA000179,2023-01-01 17:28:28,"Cuidando das plantas em casa, muito terapeutico.",0.0852
PA000180,2023-01-01 18:01:08,"Passeio com o cachorro no parque, ele adorou.",0.0738
PA000181,2023-01-01 18:48:06,"Acai gelado essa tarde, refrescante demais.",0.07
PA000182,2023-01-01 19:45:33,Pedalada de tarde com vista incrivel do parque.,0.1077
PA000183,2023-01-01 20:29:14,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.0964
PA000184,2023-01-01 20:40:25,"Passei na certificacao, muito feliz com o resultado.",0.008
PA000185,2023-01-01 20:45:18,"Fui num restaurante novo, a pizza estava espetacular.",0.1166
PA000186,2023-01-01 20:51:56,Show ao vivo incrivel no fim de semana.,0.059
PA000187,2023-01-01 21:01:47,"Padaria da esquina lancou sabor novo, recomendo.",0.1578
PA000188,2023-01-01 21:08:40,Que manha fresca e agradavel para uma caminhada.,0.1264
PA000189,2023-01-01 22:27:16,"Sopa de legumes no frio, reconfortante e gostosa.",0.1212
PA000190,2023-01-02 00:42:51,Finalmente entendi aquele conceito que me travava.,0.05
PA000191,2023-01-02 02:27:02,"Corri 5km de manha, semana otima de treino.",0.087
PA000192,2023-01-02 03:35:10,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.1159
PA000193,2023-01-02 04:22:07,"Reuniao produtiva hoje, saimos com otimas ideias.",0.1211
PA000194,2023-01-02 04:54:13,Brigadeiro de panela saiu incrivel hoje.,0.0533
PA000195,2023-01-02 05:24:52,"O outono chegou cedo esse ano, que frio gostoso de manha.",0.083
PA000196,2023-01-02 05:49:46,Podcast sobre tecnologia muito interessante.,0.0548
PA000197,2023-01-02 06:07:02,Caminhada ate a estacao foi otima hoje.,0.0212
PA000198,2023-01-02 06:19:20,Terminei o trabalho da faculdade com antecedencia.,0.1032
PA000199,2023-01-02 08:46:29,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.1
PA000200,2023-01-02 10:00:55,"Corri 5km de manha, semana otima de treino.",0.1664
PA000201,2023-01-02 10:10:08,"Praia tranquila, sol perfeito, descanso total.",0.0287
PA000202,2023-01-02 10:18:48,"Vento agradavel hoje, aproveitei para caminhar no parque.",0.0852
PA000203,2023-01-02 11:42:42,Grupo de estudos foi muito produtivo hoje.,0.0303
PA000204,2023-01-02 11:46:19,Grupo de estudos foi muito produtivo hoje.,0.1028
PA000205,2023-01-02 11:47:31,Leitura no jardim com tempo agradavel.,0.0
PA000206,2023-01-02 12:23:55,"Apresentacao correu muito bem, todos gostaram.",0.0168
PA000207,2023-01-02 13:54:50,"Reencontrei um amigo antigo por acaso, que alegria.",0.0159
PA000208,2023-01-02 19:08:00,"Fechei projeto importante essa semana, que alegria.",0.1024
PA000209,2023-01-02 19:11:39,"Sol lindo hoje, cafe na varanda foi otimo.",0.1577
PA000210,2023-01-02 20:05:09,"Pausa pro cafe com os colegas, bate-papo otimo.",0.0307
PA000211,2023-01-03 01:24:51,"Home office com cafe fresquinho do lado, otimo.",0.0791
PA000212,2023-01-03 01:26:11,"Choveu a tarde toda, dia perfeito pra ficar em casa lendo.",0.0268
PA000213,2023-01-03 01:32:01,"Yoga pela manha, comecei o dia muito bem.",0.0928
PA000214,2023-01-03 02:26:31,"Filme otimo ontem, fui ao cinema com a familia.",0.0881
PA000215,2023-01-03 03:16:58,"Estudando para a prova de amanha, bem concentrado.",0.0126
PA000216,2023-01-03 03:48:44,"Filme otimo ontem, fui ao cinema com a familia.",0.112
PA000217,2023-01-03 04:16:31,"Passei na certificacao, muito feliz com o resultado.",0.115
PA000218,2023-01-03 06:15:48,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0989
PA000219,2023-01-03 06:35:43,"Reuniao produtiva hoje, saimos com otimas ideias.",0.1247
PA000220,2023-01-03 08:20:10,"Corri 5km de manha, semana otima de treino.",0.0381
PA000221,2023-01-03 09:47:05,Aula incrivel sobre estatistica aplicada hoje.,0.0786
PA000222,2023-01-03 09:50:25,App de produtividade novo que encontrei e otimo.,0.137
PA000223,2023-01-03 10:32:44,Leitura no jardim com tempo agradavel.,0.0481
PA000224,2023-01-03 10:53:22,"Fui de bike hoje, que exercicio agradavel de manha.",0.106
PA000225,2023-01-03 11:46:35,"Tentei receita nova de bolo de cenoura, ficou fofinho.",0.1009
PA000226,2023-01-03 12:12:15,"Volei com os amigos, muita risada e diversao.",0.007
PA000227,2023-01-03 13:06:45,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0
PA000228,2023-01-03 13:27:55,"Musica nova do meu artista favorito, de outro nivel.",0.0132
PA000229,2023-01-03 13:52:43,"Fechei projeto importante essa semana, que alegria.",0.1138
PA000230,2023-01-03 15:41:37,"Maratonei a temporada completa, valeu cada minuto.",0.0081
PA000231,2023-01-03 18:00:50,Feira de artesanato gostosa de passear.,0.2
PA000232,2023-01-03 21:31:36,"Metro bem tranquilo essa manha, cheguei bem.",0.0779
PA000233,2023-01-03 21:32:10,"Natacao de manha, melhor inicio de dia possivel.",0.1926
PA000234,2023-01-03 22:07:55,"Filme otimo ontem, fui ao cinema com a familia.",0.1441
PA000235,2023-01-03 23:56:52,Caminhada ate a estacao foi otima hoje.,0.1301
PA000236,2023-01-03 23:58:20,"Fui num restaurante novo, a pizza estava espetacular.",0.085
PA000237,2023-01-04 00:17:23,Podcast sobre tecnologia muito interessante.,0.0244
PA000238,2023-01-04 00:30:05,"Novo celular chegou, a camera e impressionante.",0.105
PA000239,2023-01-04 01:29:59,App de produtividade novo que encontrei e otimo.,0.1176
PA000240,2023-01-04 02:57:25,"Fui de bike hoje, que exercicio agradavel de manha.",0.047
PA000241,2023-01-04 03:28:28,"Livro excelente sobre ciencia de dados, recomendo muito.",0.0194
PA000242,2023-01-04 05:55:31,Grupo de estudos foi muito produtivo hoje.,0.112
PA000243,2023-01-04 07:46:47,"Meu time ganhou hoje, que jogo bonito foi.",0.0746
PA000244,2023-01-04 08:16:27,"Serie nova incrivel, amei o primeiro episodio.",0.0952
PA000245,2023-01-04 09:29:44,"Yoga pela manha, comecei o dia muito bem.",0.0281
PA000246,2023-01-04 11:03:36,"Sopa de legumes no frio, reconfortante e gostosa.",0.1072
PA000247,2023-01-04 11:06:10,Que tarde relaxante lendo na rede.,0.1599
PA000248,2023-01-04 11:08:07,"Tarefa dificil concluida com sucesso, que satisfacao.",0.0884
PA000249,2023-01-04 14:22:25,Caminhada ate a estacao foi otima hoje.,0.0808
PA000250,2023-01-04 14:28:44,"Que bagunca, nada funcionando direito.",0.9405
PA000251,2023-01-04 14:45:04,"Choveu a tarde toda, dia perfeito pra ficar em casa lendo.",0.0317
PA000252,2023-01-04 14:50:41,"Fui de bike hoje, que exercicio agradavel de manha.",0.1246
PA000253,2023-01-04 16:46:30,Jantar simples mas gostoso com a familia.,0.0274
PA000254,2023-01-04 16:49:47,Atualizacao deixou o sistema muito mais rapido.,0.0756
PA000255,2023-01-04 17:33:46,Grupo de estudos foi muito produtivo hoje.,0.1006
PA000256,2023-01-04 17:41:31,"Meu time ganhou hoje, que jogo bonito foi.",0.0401
PA000257,2023-01-04 17:45:38,"Configurei o home office com setup novo, otimo.",0.1619
PA000258,2023-01-04 18:03:11,"Aprendi receita nova no youtube, ficou otimo.",0.0654
PA000259,2023-01-04 18:18:04,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.0223
PA000260,2023-01-04 18:39:45,"Corri 5km de manha, semana otima de treino.",0.1719
PA000261,2023-01-04 19:14:53,"Domingo em familia, melhor dia da semana.",0.1277
PA000262,2023-01-04 19:59:58,Atualizacao deixou o sistema muito mais rapido.,0.0869
PA000263,2023-01-04 21:29:08,Tarde produtiva organizando e limpando a casa.,0.1371
PA000264,2023-01-04 22:48:05,"Consegui estacionamento logo de cara, dia de sorte mesmo.",0.1091
PA000265,2023-01-05 00:08:24,Cafe da manha caprichado: tapioca com ovo e suco de laranja.,0.0511
PA000266,2023-01-05 04:10:47,Terminei o trabalho da faculdade com antecedencia.,0.0901
PA000267,2023-01-05 07:00:02,"Domingo em familia, melhor dia da semana.",0.1312
PA000268,2023-01-05 07:00:35,Grupo de estudos foi muito produtivo hoje.,0.1068
PA000269,2023-01-05 07:08:31,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.1174
PA000270,2023-01-05 07:26:22,"Onibus chegou no horario hoje, que surpresa agradavel.",0.1385
PA000271,2023-01-05 07:44:33,Aula incrivel sobre estatistica aplicada hoje.,0.0812
PA000272,2023-01-05 08:31:59,"Pipoca e serie boa na sexta, programa perfeito.",0.0
PA000273,2023-01-05 09:42:59,"Configurei o home office com setup novo, otimo.",0.1456
PA000274,2023-01-05 10:59:00,"Notebook novo chegou, que desempenho incrivel.",0.0691
PA000275,2023-01-05 11:13:46,"Teatro incrivel ontem, peca muito bem dirigida.",0.0081
PA000276,2023-01-05 11:49:46,Que tarde relaxante lendo na rede.,0.088
PA000277,2023-01-05 11:56:48,"Corri 5km de manha, semana otima de treino.",0.1381
PA000278,2023-01-05 12:42:50,Que tarde relaxante lendo na rede.,0.105
PA000279,2023-01-05 12:42:57,Aula incrivel sobre estatistica aplicada hoje.,0.0909
PA000280,2023-01-05 14:57:58,"Reuniao produtiva hoje, saimos com otimas ideias.",0.0977
PA000281,2023-01-05 15:20:43,"O outono chegou cedo esse ano, que frio gostoso de manha.",0.0511
PA000282,2023-01-05 16:25:43,Tarde produtiva organizando e limpando a casa.,0.0784
PA000283,2023-01-05 16:49:22,"Vento agradavel hoje, aproveitei para caminhar no parque.",0.1276
PA000284,2023-01-05 17:42:54,"Plantei temperos na sacada, que satisfacao.",0.0188
PA000285,2023-01-05 17:43:27,"Sopa de legumes no frio, reconfortante e gostosa.",0.0434
PA000286,2023-01-05 18:05:55,"Onibus chegou no horario hoje, que surpresa agradavel.",0.1187
PA000287,2023-01-05 18:19:11,"Meu time ganhou hoje, que jogo bonito foi.",0.1002
PA000288,2023-01-05 21:35:51,"Tentei receita nova de bolo de cenoura, ficou fofinho.",0.1418
PA000289,2023-01-05 21:39:25,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.0
PA000290,2023-01-05 21:42:30,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0609
PA000291,2023-01-05 21:47:19,"Natacao de manha, melhor inicio de dia possivel.",0.0903
PA000292,2023-01-05 22:33:32,"Almoco incrivel hoje, fiz lasanha caseira do zero.",0.0183
PA000293,2023-01-06 00:34:37,"Onibus chegou no horario hoje, que surpresa agradavel.",0.1263
PA000294,2023-01-06 02:48:02,"Estrada livre, cheguei no trabalho rapido hoje.",0.1259
PA000295,2023-01-06 03:32:40,"Estrada livre, cheguei no trabalho rapido hoje.",0.0339
PA000296,2023-01-06 06:00:24,Cafe da manha caprichado: tapioca com ovo e suco de laranja.,0.0523
PA000297,2023-01-06 06:22:04,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0208
PA000298,2023-01-06 08:32:14,Jogo novo me viciou de um jeito bom.,0.0754
PA000299,2023-01-06 08:52:54,"Novo celular chegou, a camera e impressionante.",0.0251
PA000300,2023-01-06 09:03:44,Semana intensa mas muito satisfatoria no trabalho.,0.0853
PA000301,2023-01-06 11:09:23,"Estrada livre, cheguei no trabalho rapido hoje.",0.1611
PA000302,2023-01-06 11:27:01,Leitura no jardim com tempo agradavel.,0.0
PA000303,2023-01-06 12:15:03,"Plantei temperos na sacada, que satisfacao.",0.0341
PA000304,2023-01-06 13:35:27,"Meditacao de manha, comecando o dia muito bem.",0.0972
